[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:15:02,108 INFO [http-nio-56085-exec-5][QCloudSmsService.java:56] - 给手机号13278882794发送验证码：901757
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:20:33,969 INFO [Thread-5][ExecutorConfigurationSupport.java:208] - Shutting down ExecutorService 'applicationTaskExecutor'
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:22:58,380 INFO [main][StartupInfoLogger.java:50] - Starting SailingBootstrap on LAPTOP-VBDG941V with PID 23416 (E:\MyCode\Java\sailing\target\classes started by liguohui in E:\MyCode\Java\sailing)
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:22:58,393 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:22:58,998 INFO [main][RepositoryConfigurationDelegate.java:244] - Multiple Spring Data modules found, entering strict repository configuration mode!
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:22:59,001 INFO [main][RepositoryConfigurationDelegate.java:126] - Bootstrapping Spring Data repositories in DEFAULT mode.
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:22:59,019 INFO [main][RepositoryConfigurationDelegate.java:182] - Finished Spring Data repository scanning in 11ms. Found 0 repository interfaces.
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:22:59,390 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 56085 (http)
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:22:59,399 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-56085"]
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:22:59,404 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[${project.name}][${env:SERVER_PORT}] 2021-11-16 10:22:59,405 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
