[${project.name}][${env:SERVER_PORT}] 2021-11-16 15:08:19,766 INFO [Thread-8][ExecutorConfigurationSupport.java:208] - Shutting down ExecutorService 'applicationTaskExecutor'
[${project.name}][${env:SERVER_PORT}] 2021-11-16 15:08:30,220 INFO [main][StartupInfoLogger.java:50] - Starting SailingBootstrap on LAPTOP-VBDG941V with PID 38388 (E:\MyCode\Java\sailing\target\classes started by liguohui in E:\MyCode\Java\sailing)
[${project.name}][${env:SERVER_PORT}] 2021-11-16 15:08:30,250 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
[${project.name}][${env:SERVER_PORT}] 2021-11-16 15:08:30,882 INFO [main][RepositoryConfigurationDelegate.java:244] - Multiple Spring Data modules found, entering strict repository configuration mode!
[${project.name}][${env:SERVER_PORT}] 2021-11-16 15:08:30,884 INFO [main][RepositoryConfigurationDelegate.java:126] - Bootstrapping Spring Data repositories in DEFAULT mode.
[${project.name}][${env:SERVER_PORT}] 2021-11-16 15:08:30,905 INFO [main][RepositoryConfigurationDelegate.java:182] - Finished Spring Data repository scanning in 13ms. Found 0 repository interfaces.
[${project.name}][${env:SERVER_PORT}] 2021-11-16 15:08:31,276 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 56085 (http)
[${project.name}][${env:SERVER_PORT}] 2021-11-16 15:08:31,285 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-56085"]
[${project.name}][${env:SERVER_PORT}] 2021-11-16 15:08:31,290 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[${project.name}][${env:SERVER_PORT}] 2021-11-16 15:08:31,290 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
[${project.name}][${env:SERVER_PORT}] 2021-11-16 15:08:31,295 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\JDK\jdk1.8.0_191\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;D:\JDK\jdk1.8.0_191\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\VMware\VMware Workstation\bin\;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v11.0\bin;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v11.0\libnvvp;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v10.1\bin;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v10.1\libnvvp;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR;C:\Program Files\NVIDIA Corporation\Nsight Compute 2020.1.1\;D:\MinGW\bin;D:\ProgramData\Anaconda3;D:\ProgramData\Anaconda3\Scripts;D:\ProgramData\Anaconda3\Library\bin;D:\Program_My\mysql-8.0.27-winx64\bin;D:\JDK\jdk1.8.0_191\jre\bin;C:\Users\liguohui\AppData\Local\Microsoft\WindowsApps;;D:\Program Files\JetBrains\PyCharm 2021.2.3\bin;;D:\Program Files\JetBrains\IntelliJ IDEA 2021.2.3\bin;;D:\Program Files\JetBrains\CLion 2021.2.3\bin;;D:\Program Files\JetBrains\WebStorm 2021.2.3\bin;;.]
